replaceable	置き換えられる、代わりのある
inflict A on B	BにAを与える、負わせる
uncover	を明らかにする、ふたを取る
embassy	大使館
pessimistic	悲観的な
assurance	保証、請け合い
evaluate	を評価する、見積もる
pull through	を乗り越える、を超える
graceful	優雅な、上品な
abolish	を廃止する、やめる
in spite of	にも関わらず、けれども
carve	を彫る
miss out	機会を逃す、見落とす、見過ごす
portray	描く、表現する
catch a glimpse of	をちらっと見る、垣間見る
remarkably	著しく、非常に
exceed	を超える、超過する
revive	生き返る
deprive	から奪う、略奪する
far cry from	叫び声から遠い、からほど遠い
legend	伝説、言い伝え
incredible	信じられない、信じがたい
overtake	を追い越す、追いつく
harmless	無害な
consent	同意する、賛成する
ornament	装飾品、飾り
send in	に送る、提出する
idiot	馬鹿
plural	複数の
provincial	地方の
removal	除去、取り除く
mentally	精神的に、心理的に
work off	徐々に取れる、減らす
brim	へり、ふち
dwelling	住居
gravity	重力、引力
diverse	多様な、多種多様な
pledge	誓約、固い約束
anticipation	期待、予想
simultaneously	同時に
soak	浸す、浸漬する
supplement	補足、追加
inevitably	必然的に
crouch	しゃがむ、かがむ
branch out	枝を出す、手を広げる
in abundance	大量に、豊富に
rip	を裂く、破る
supervision	監督、指導者
comical	おどけた、滑稽な
counsel	弁護士、協議
cheat on	でズルをする、裏切る
metaphor	比喩、隠喩
compensation	補償、賠償
impolite	失礼な、無礼な
pastry	パン菓子
remainder	残り、残りもの
biography	伝記
persistent	根気強い、粘り強い
rubbish	ごみ、がらくた
shameful	恥ずべき
edge out	徐々に押しのける、辛勝する
vanity	虚栄心、うぬぼれ
umpire	審判、審判員
intensity	強度、強烈さ
diplomat	外交官、外交官僚
exert oneself to	～するために努力する、～のために尽力する
naval	海軍の、海軍のもの
sway	揺さぶる
microscope	顕微鏡、測微鏡
probe	探り針
geometry	幾何学
fuzzy	ぼやけた
skyscraper	超高層建築物、摩天楼
deceit	詐欺、騙し
rebellion	反乱、暴動
isolation	隔離、孤立
lay down	を横たえる、倒す
nobility	尊さ、高貴さ
spit	唾を吐く
think out	考え抜く、熟考する
obstacle	障害物、邪魔
chairperson	議長
embarrassed	恥ずかしい、照れる
plentiful	たっぷりの、たくさんの
all thumbs	不器用な、ぶざまな
orchard	果樹園
fatigue	疲労、疲れ
attendance	出席、参列
come around	遠回りする、立ち寄る
probability	確率
prediction	予測、予想
ownership	所有権
equation	方程式
